idade,profissao,estado_civil,educacao,tem_inadimplencia,saldo_anual,emprestimo_habitacional,emprestimo_pessoal,tipo_contato,dia,mes,duracao_segundos,num_contatos_campanha,dias_desde_ultimo_contato,contatos_anteriores,resultado_campanha_anterior,assinou_deposito
58,gerencia,casado,superior,nao,2143,sim,nao,desconhecido,5,mai,261,1,-1,0,desconhecido,nao
44,tecnico,solteiro,medio,nao,29,sim,nao,desconhecido,5,mai,151,1,-1,0,desconhecido,nao
33,empreendedor,casado,medio,nao,2,sim,sim,desconhecido,5,mai,76,1,-1,0,desconhecido,nao
47,operario,casado,desconhecido,nao,1506,sim,nao,desconhecido,5,mai,92,1,-1,0,desconhecido,nao
33,desconhecido,solteiro,desconhecido,nao,1,nao,nao,desconhecido,5,mai,198,1,-1,0,desconhecido,nao
35,gerencia,casado,superior,nao,231,sim,nao,desconhecido,5,mai,139,1,-1,0,desconhecido,nao
28,gerencia,solteiro,superior,nao,447,sim,sim,desconhecido,5,mai,217,1,-1,0,desconhecido,nao
42,empreendedor,divorciado,superior,sim,2,sim,nao,desconhecido,5,mai,380,1,-1,0,desconhecido,nao
58,aposentado,casado,fundamental,nao,121,sim,nao,desconhecido,5,mai,50,1,-1,0,desconhecido,nao
43,tecnico,solteiro,medio,nao,593,sim,nao,desconhecido,5,mai,55,1,-1,0,desconhecido,nao
41,administrativo,divorciado,medio,nao,270,sim,nao,desconhecido,5,mai,222,1,-1,0,desconhecido,nao
29,administrativo,solteiro,medio,nao,390,sim,nao,desconhecido,5,mai,137,1,-1,0,desconhecido,nao
53,tecnico,casado,medio,nao,6,sim,nao,desconhecido,5,mai,517,1,-1,0,desconhecido,nao
58,tecnico,casado,desconhecido,nao,71,sim,nao,desconhecido,5,mai,71,1,-1,0,desconhecido,nao
57,servicos,casado,medio,nao,162,sim,nao,desconhecido,5,mai,174,1,-1,0,desconhecido,nao
51,aposentado,casado,fundamental,nao,229,sim,nao,desconhecido,5,mai,353,1,-1,0,desconhecido,nao
45,administrativo,solteiro,desconhecido,nao,13,sim,nao,desconhecido,5,mai,98,1,-1,0,desconhecido,nao
57,operario,casado,fundamental,nao,52,sim,nao,desconhecido,5,mai,38,1,-1,0,desconhecido,nao
60,aposentado,casado,fundamental,nao,60,sim,nao,desconhecido,5,mai,219,1,-1,0,desconhecido,nao
33,servicos,casado,medio,nao,0,sim,nao,desconhecido,5,mai,54,1,-1,0,desconhecido,nao
28,operario,casado,medio,nao,723,sim,sim,desconhecido,5,mai,262,1,-1,0,desconhecido,nao
56,gerencia,casado,superior,nao,779,sim,nao,desconhecido,5,mai,164,1,-1,0,desconhecido,nao
32,operario,solteiro,fundamental,nao,23,sim,sim,desconhecido,5,mai,160,1,-1,0,desconhecido,nao
25,servicos,casado,medio,nao,50,sim,nao,desconhecido,5,mai,342,1,-1,0,desconhecido,nao
40,aposentado,casado,fundamental,nao,0,sim,sim,desconhecido,5,mai,181,1,-1,0,desconhecido,nao
44,administrativo,casado,medio,nao,-372,sim,nao,desconhecido,5,mai,172,1,-1,0,desconhecido,nao
39,gerencia,solteiro,superior,nao,255,sim,nao,desconhecido,5,mai,296,1,-1,0,desconhecido,nao
52,empreendedor,casado,medio,nao,113,sim,sim,desconhecido,5,mai,127,1,-1,0,desconhecido,nao
46,gerencia,solteiro,medio,nao,-246,sim,nao,desconhecido,5,mai,255,2,-1,0,desconhecido,nao
36,tecnico,solteiro,medio,nao,265,sim,sim,desconhecido,5,mai,348,1,-1,0,desconhecido,nao
57,tecnico,casado,medio,nao,839,nao,sim,desconhecido,5,mai,225,1,-1,0,desconhecido,nao
49,gerencia,casado,superior,nao,378,sim,nao,desconhecido,5,mai,230,1,-1,0,desconhecido,nao
60,administrativo,casado,medio,nao,39,sim,sim,desconhecido,5,mai,208,1,-1,0,desconhecido,nao
59,operario,casado,medio,nao,0,sim,nao,desconhecido,5,mai,226,1,-1,0,desconhecido,nao
51,gerencia,casado,superior,nao,10635,sim,nao,desconhecido,5,mai,336,1,-1,0,desconhecido,nao
57,tecnico,divorciado,medio,nao,63,sim,nao,desconhecido,5,mai,242,1,-1,0,desconhecido,nao
25,operario,casado,medio,nao,-7,sim,nao,desconhecido,5,mai,365,1,-1,0,desconhecido,nao
53,tecnico,casado,medio,nao,-3,nao,nao,desconhecido,5,mai,1666,1,-1,0,desconhecido,nao
36,administrativo,divorciado,medio,nao,506,sim,nao,desconhecido,5,mai,577,1,-1,0,desconhecido,nao
37,administrativo,solteiro,medio,nao,0,sim,nao,desconhecido,5,mai,137,1,-1,0,desconhecido,nao
44,servicos,divorciado,medio,nao,2586,sim,nao,desconhecido,5,mai,160,1,-1,0,desconhecido,nao
50,gerencia,casado,medio,nao,49,sim,nao,desconhecido,5,mai,180,2,-1,0,desconhecido,nao
60,operario,casado,desconhecido,nao,104,sim,nao,desconhecido,5,mai,22,1,-1,0,desconhecido,nao
54,aposentado,casado,medio,nao,529,sim,nao,desconhecido,5,mai,1492,1,-1,0,desconhecido,nao
58,aposentado,casado,desconhecido,nao,96,sim,nao,desconhecido,5,mai,616,1,-1,0,desconhecido,nao
36,administrativo,solteiro,fundamental,nao,-171,sim,nao,desconhecido,5,mai,242,1,-1,0,desconhecido,nao
58,autonomo,casado,superior,nao,-364,sim,nao,desconhecido,5,mai,355,1,-1,0,desconhecido,nao
44,tecnico,casado,medio,nao,0,sim,nao,desconhecido,5,mai,225,2,-1,0,desconhecido,nao
55,tecnico,divorciado,medio,nao,0,nao,nao,desconhecido,5,mai,160,1,-1,0,desconhecido,nao
29,gerencia,solteiro,superior,nao,0,sim,nao,desconhecido,5,mai,363,1,-1,0,desconhecido,nao
54,operario,casado,medio,nao,1291,sim,nao,desconhecido,5,mai,266,1,-1,0,desconhecido,nao
48,gerencia,divorciado,superior,nao,-244,sim,nao,desconhecido,5,mai,253,1,-1,0,desconhecido,nao
