id_estudante,idade,genero,nivel_educacao,media_horas_sono,horas_tempo_tela,horas_redes_sociais,horas_estudo_por_dia,horas_exercicio_por_semana,bebidas_cafeina_por_dia,nivel_estresse,pontuacao_ansiedade,media_notas,usa_app_sono,sente_esgotado
1,21,nao_binario,ensino_medio,8.0,4.9,3.7,5.0,4.8,1,7,7,3.35,nao,sim
2,19,feminino,graduacao,7.3,7.7,5.3,2.8,4.2,1,8,8,2.81,sim,sim
3,19,masculino,graduacao,6.1,7.3,3.6,3.6,5.8,1,8,10,3.01,sim,sim
4,16,masculino,ensino_medio,6.2,7.4,4.0,0.4,2.0,4,9,10,2.76,nao,sim
5,20,masculino,pos_graduacao,5.6,12.5,8.3,2.6,6.2,3,10,10,2.67,nao,sim
6,19,masculino,ensino_medio,6.4,5.0,0.7,4.6,5.3,1,7,8,3.24,sim,sim
7,18,masculino,graduacao,7.7,3.3,1.5,5.1,4.6,1,8,6,3.19,nao,sim
8,20,masculino,pos_graduacao,7.8,8.4,4.9,5.0,4.7,0,6,5,3.85,sim,nao
9,21,masculino,pos_graduacao,7.7,4.6,1.2,5.0,8.3,1,5,3,3.47,nao,nao
10,18,masculino,ensino_medio,8.8,5.3,2.5,2.1,6.3,1,8,7,3.51,sim,sim
11,24,feminino,ensino_medio,8.8,3.8,2.5,6.6,1.9,1,5,4,4.0,sim,nao
12,17,masculino,ensino_medio,7.6,7.0,3.6,4.2,2.1,3,7,8,3.21,nao,sim
13,19,feminino,ensino_medio,7.3,11.6,7.5,2.1,5.9,0,8,9,2.88,nao,sim
14,20,feminino,graduacao,6.9,7.6,3.9,2.9,3.7,1,9,7,2.53,nao,sim
15,15,prefere_nao_dizer,pos_graduacao,7.4,5.8,2.7,1.8,4.1,1,6,6,3.83,sim,nao
16,18,feminino,ensino_medio,7.3,5.6,2.9,5.0,3.0,0,8,9,3.46,nao,sim
17,22,feminino,graduacao,7.3,5.9,3.4,4.3,2.5,6,5,3,3.96,sim,nao
18,19,masculino,ensino_medio,6.1,5.4,1.2,3.5,5.0,3,6,8,3.41,nao,nao
19,20,masculino,graduacao,6.6,8.2,4.9,3.8,3.9,4,7,8,3.31,sim,sim
20,15,masculino,graduacao,8.9,7.3,2.6,4.7,0.5,2,7,8,3.63,sim,sim
21,19,masculino,ensino_medio,7.2,5.7,3.0,3.3,2.1,4,4,6,3.6,sim,nao
22,16,masculino,graduacao,8.1,5.8,1.3,1.0,6.1,1,6,8,3.72,nao,nao
23,18,feminino,graduacao,7.5,5.2,3.7,5.0,2.7,4,7,6,3.19,sim,sim
24,17,masculino,ensino_medio,7.1,4.9,1.1,0.7,3.2,0,9,8,2.92,sim,sim
25,25,feminino,graduacao,8.7,3.4,2.8,4.5,6.6,1,5,4,3.46,sim,nao
26,19,masculino,graduacao,6.5,5.6,3.4,4.5,4.4,1,5,3,3.05,sim,nao
27,20,feminino,graduacao,9.5,3.6,2.2,3.0,3.6,1,6,5,3.26,nao,nao
28,18,prefere_nao_dizer,ensino_medio,8.3,4.5,3.8,2.4,0.0,3,8,7,3.45,nao,sim
29,21,masculino,graduacao,6.3,9.1,3.7,1.5,4.7,5,7,8,2.4,nao,sim
30,16,masculino,graduacao,7.6,6.8,3.3,2.6,1.0,1,10,10,3.0,nao,sim
31,17,masculino,graduacao,6.7,7.2,4.8,0.7,4.9,1,9,7,3.0,sim,sim
32,21,prefere_nao_dizer,ensino_medio,7.7,4.7,4.8,3.0,0.0,0,6,8,3.63,nao,nao
33,18,masculino,pos_graduacao,8.2,6.5,4.0,4.5,0.6,2,9,8,3.06,sim,sim
34,21,feminino,ensino_medio,7.9,6.4,2.8,0.6,4.2,1,8,8,3.65,nao,sim
35,14,masculino,pos_graduacao,8.1,7.8,4.1,2.9,6.7,1,6,5,3.58,nao,nao
36,18,feminino,graduacao,7.9,6.9,5.1,4.8,0.0,1,8,7,3.22,nao,sim
37,24,feminino,graduacao,7.7,6.5,4.6,5.2,4.2,1,4,3,3.53,nao,nao
