DATA_REGISTRO,PROCEDIMENTO,TIPO_PROPRIEDADE,BAIRRO,SUBTIPO_IMOVEL,VALOR_TRANSACAO,AREA_UTIL_M2,QUARTOS,METRO_MAIS_PROXIMO,SHOPPING_MAIS_PROXIMO,PONTO_REFERENCIA_MAIS_PROXIMO,PROJETO,PRECO_POR_M2,CATEGORIA_TAMANHO,FAIXA_DE_VALOR
2026-01-02,Venda,Propriedade Plena (Freehold),BURJ KHALIFA,Apartamento,2600000.0,140.95,2 Quarto(s),Business Bay Metro Station,Dubai Mall,Downtown Dubai,BAHWAN TOWER,18446.26,Premium,Alto Padrão
2026-01-02,Venda,Propriedade Plena (Freehold),BURJ KHALIFA,Apartamento,2731642.0,134.46,2 Quarto(s),Business Bay Metro Station,Dubai Mall,Downtown Dubai,Imperial  Avenue,20315.65,Premium,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),JUMEIRAH VILLAGE CIRCLE,Apartamento,620000.0,42.87,Studio,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,PANTHEON ELYSEE,14462.33,Compacto,Entrada
2026-03-06,Venda,Propriedade Plena (Freehold),JUMEIRAH VILLAGE CIRCLE,Apartamento,540000.0,36.86,Studio,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,,14650.03,Compacto,Entrada
2026-03-06,Venda,Propriedade Plena (Freehold),INTERNATIONAL CITY PH 1,Apartamento,515000.0,66.5,1 Quarto(s),Rashidiya Metro Station,City Centre Mirdif,,,7744.36,Médio,Entrada
2026-03-06,Venda,Propriedade Plena (Freehold),INTERNATIONAL CITY PH 1,Apartamento,342000.0,44.0,Studio,Rashidiya Metro Station,City Centre Mirdif,,,7772.73,Compacto,Entrada
2026-03-09,Venda,Propriedade Plena (Freehold),PALM JUMEIRAH,Apartamento,22000000.0,561.12,3 Quarto(s),Jumeirah Beach Resdency,Marina Mall,Burj Al Arab,W Residences Dubai - The Palm,39207.3,Premium,Ultra-Premium
2026-03-06,Venda,Propriedade Plena (Freehold),BURJ KHALIFA,Hotel Apartment,1675000.0,85.35,1 Quarto(s),Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,THE DISTINCTION,19625.07,Médio,Alto Padrão
2026-03-06,Venda,Propriedade Plena (Freehold),REMRAAM,Apartamento,1100000.0,93.4,2 Quarto(s),,,Motor City,REMRAAM,11777.3,Spacious,Mercado Médio
2026-03-06,Venda,Propriedade Plena (Freehold),DUBAI MARINA,Apartamento,1333500.0,41.37,Studio,Jumeirah Beach Resdency,Marina Mall,Burj Al Arab,BAY CENTRAL WEST & CENTRAL TOWERS,32233.5,Compacto,Mercado Médio
2026-03-06,Venda,Propriedade Plena (Freehold),JUMEIRAH VILLAGE CIRCLE,Apartamento,1500000.0,84.69,1 Quarto(s),Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,Binghatti Phantom,17711.65,Médio,Alto Padrão
2026-03-06,Venda,Propriedade Plena (Freehold),BURJ KHALIFA,Apartamento,1900000.0,80.74,1 Quarto(s),Business Bay Metro Station,Dubai Mall,Downtown Dubai,CLAREN 1,23532.33,Médio,Alto Padrão
2026-03-06,Venda,Propriedade Plena (Freehold),JUMEIRAH VILLAGE CIRCLE,Hotel Apartment,620000.0,43.81,Studio,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,Milano Giovanni Boutique Suites,14152.02,Compacto,Entrada
2026-03-06,Venda,Propriedade Plena (Freehold),JUMEIRAH LAKES TOWERS,Apartamento,2700000.0,192.96,3 Quarto(s),Damac Properties,Marina Mall,Burj Al Arab,,13992.54,Premium,Alto Padrão
2026-03-06,Venda,Propriedade Plena (Freehold),INTERNATIONAL CITY PH 1,Apartamento,890000.0,105.1,2 Quarto(s),Rashidiya Metro Station,City Centre Mirdif,,HDS SUNSTAR 1,8468.13,Spacious,Mercado Médio
2026-03-06,Venda,Propriedade Plena (Freehold),MEYDAN AVENUE,Apartamento,1530000.0,84.91,1 Quarto(s),Business Bay Metro Station,Dubai Mall,Downtown Dubai,,18019.08,Médio,Alto Padrão
2026-03-06,Venda,Propriedade Plena (Freehold),ARJAN,Apartamento,817333.0,69.03,1 Quarto(s),Sharaf Dg Metro Station,Mall of the Emirates,Motor City,,11840.26,Médio,Mercado Médio
2026-03-06,Venda,Propriedade Plena (Freehold),BURJ KHALIFA,Apartamento,2950000.0,101.86,2 Quarto(s),Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Burj Khalifa,FORTE,28961.32,Spacious,Alto Padrão
2026-03-06,Venda,Propriedade Plena (Freehold),DOWN TOWN JABAL ALI,Apartamento,605000.0,36.29,Studio,UAE Exchange Metro Station,Ibn-e-Battuta Mall,Expo 2020 Site,Azizi Aura Residences,16671.26,Compacto,Entrada
2026-03-06,Venda,Propriedade Plena (Freehold),DUBAI SPORTS CITY,Apartamento,400000.0,49.02,Studio,Dubai Internet City,Marina Mall,Sports City Swimming Academy,STADIUM POINT,8159.93,Médio,Entrada
2026-03-06,Venda,Propriedade Plena (Freehold),JUMEIRAH LAKES TOWERS,Apartamento,1125000.0,66.78,1 Quarto(s),Jumeirah Lakes Towers,Marina Mall,Sports City Swimming Academy,LAKE TERRACE,16846.36,Médio,Mercado Médio
2026-03-06,Venda,Propriedade Plena (Freehold),BURJ KHALIFA,Hotel Apartment,8000000.0,157.82,2 Quarto(s),Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Burj Khalifa,THE ADDRESS RESIDENCE - SKY VIEW,50690.66,Premium,Ultra-Premium
2026-03-06,Venda,Propriedade Plena (Freehold),JUMEIRAH VILLAGE TRIANGLE,Shop,1000000.0,72.03,,Harbour Tower,Ibn-e-Battuta Mall,Sports City Swimming Academy,555 PARK VIEWS,13883.1,Médio,Mercado Médio
2026-03-06,Venda,Propriedade Plena (Freehold),AL FURJAN,Apartamento,573000.0,38.62,Studio,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,Expo 2020 Site,STARZ TOWER by DANUBE,14836.87,Compacto,Entrada
2026-03-06,Venda,Propriedade Plena (Freehold),BUSINESS BAY,Office,1734000.0,97.3,Office,Business Bay Metro Station,Dubai Mall,Downtown Dubai,SILVER TOWER,17821.17,Spacious,Alto Padrão
2026-03-06,Venda,Propriedade Plena (Freehold),DUBAI STUDIO CITY,Apartamento,470000.0,45.51,Studio,Sharaf Dg Metro Station,Mall of the Emirates,Motor City,GLITZ RESIDENCE 1,10327.4,Compacto,Entrada
2026-03-07,Venda,Propriedade Plena (Freehold),TOWN SQUARE,Apartamento,1480000.0,144.51,2 Quarto(s),,,Dubai Cycling Course,TOWN SQUARE ZAHRA,10241.51,Premium,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),JUMEIRAH VILLAGE TRIANGLE,Apartamento,450000.0,34.33,Studio,Jumeirah Lakes Towers,Marina Mall,Sports City Swimming Academy,AL JAWHARA TOWER,13108.07,Compacto,Entrada
2026-03-07,Venda,Propriedade Plena (Freehold),DOWN TOWN JABAL ALI,Apartamento,530000.0,33.13,Studio,UAE Exchange Metro Station,,Expo 2020 Site,EQUITI GATES,15997.59,Compacto,Entrada
2026-03-07,Venda,Propriedade Plena (Freehold),INTERNATIONAL CITY PH 1,Apartamento,400000.0,69.23,1 Quarto(s),Rashidiya Metro Station,City Centre Mirdif,,INTERNATIONAL CITY EMARATI,5777.84,Médio,Entrada
2026-03-07,Venda,Propriedade Plena (Freehold),JUMEIRAH VILLAGE TRIANGLE,Apartamento,525000.0,41.65,Studio,Damac Properties,Marina Mall,Sports City Swimming Academy,AL MANARAH TOWER,12605.04,Compacto,Entrada
2026-03-09,Venda,Propriedade Plena (Freehold),DUBAI CREEK HARBOUR,Apartamento,5150000.0,183.25,3 Quarto(s),Creek Metro Station,City Centre Mirdif,Dubai International Airport,Creek Beach - VIDA Residences,28103.68,Premium,Ultra-Premium
