passo,tipo,valor,nomeOrigem,saldoAntigoOrigem,novoSaldoOrigem,nomeDestino,saldoAntigoDestino,novoSaldoDestino,fraude,fraude_sinalizada
44,PAGAMENTO,839.14,C842284647,915.0,75.86,M1145688024,0.0,0.0,0,0
280,TRANSFERENCIA,892741.55,C1870327960,40419.0,0.0,C1275833146,0.0,892741.55,0,0
523,SAQUE,10000000.0,C956657254,10000000.0,0.0,C383956352,198226.59,10198226.59,1,0
355,SAQUE,209941.55,C478277670,0.0,0.0,C432982649,52496329.5,52706271.05,0,0
187,SAQUE,166548.66,C507003411,44992.0,0.0,C1576027939,0.0,166548.66,0,0
16,SAQUE,245171.32,C1179706011,20270.0,0.0,C1922173724,50914.0,296085.32,0,0
40,SAQUE,174186.62,C1625358132,104723.0,0.0,C401765325,0.0,174186.62,0,0
304,DEPOSITO,280664.92,C1726308434,3448341.72,3729006.64,C2061683792,1623393.54,1342728.62,0,0
229,SAQUE,122528.15,C1001218669,245659.0,123130.85,C657183811,0.0,122528.15,0,0
322,SAQUE,248390.88,C1015656141,0.0,0.0,C1228315732,526697.83,775088.7,0,0
557,SAQUE,74709.4,C467552015,74709.4,0.0,C2104621109,233625.43,308334.83,1,0
405,PAGAMENTO,15175.14,C1692963088,187080.0,171904.86,M1833649459,0.0,0.0,0,0
298,SAQUE,402623.96,C510592511,0.0,0.0,C1515965508,6195945.6,6598569.56,0,0
537,SAQUE,127447.68,C987837660,127447.68,0.0,C2119771429,1274456.97,1401904.65,1,0
58,TRANSFERENCIA,7108914.22,C1494760088,7108914.22,0.0,C1835087777,0.0,0.0,1,0
17,PAGAMENTO,13550.74,C850697240,147933.0,134382.26,M200528247,0.0,0.0,0,0
328,SAQUE,6391.6,C1610942799,6391.6,0.0,C1312990529,2954292.05,2960683.65,1,0
291,SAQUE,1185157.78,C1347068790,1185157.78,0.0,C726467776,0.0,1185157.78,1,0
160,SAQUE,12848.73,C1151763261,0.0,0.0,C1220536537,2297324.6,2310173.33,0,0
37,SAQUE,66843.46,C892988972,15507.0,0.0,C448522510,21107.08,87950.55,0,0
377,PAGAMENTO,9955.99,C1457224092,0.0,0.0,M169851014,0.0,0.0,0,0
562,TRANSFERENCIA,8770.06,C959095165,8770.06,0.0,C1685479165,0.0,0.0,1,0
251,PAGAMENTO,15358.61,C1858851550,5090.0,0.0,M227582590,0.0,0.0,0,0
712,SAQUE,6514.47,C1710479946,6514.47,0.0,C940718761,893602.62,900117.09,1,0
324,SAQUE,183886.1,C911440420,11590.0,0.0,C1586308841,85602.68,269488.79,0,0
262,TRANSFERENCIA,201281.36,C1271087457,201281.36,0.0,C1017401472,0.0,0.0,1,0
324,PAGAMENTO,31649.32,C2017906731,0.0,0.0,M581233219,0.0,0.0,0,0
254,PAGAMENTO,4525.84,C1420524213,0.0,0.0,M408089493,0.0,0.0,0,0
225,SAQUE,241388.36,C1198929680,0.0,0.0,C503258654,3861695.48,4103083.84,0,0
590,TRANSFERENCIA,179725.06,C916884733,179725.06,0.0,C829501774,0.0,0.0,1,0
280,TRANSFERENCIA,188965.74,C911113595,0.0,0.0,C1168450226,1564607.35,1753573.09,0,0
307,SAQUE,177657.22,C1603598973,0.0,0.0,C1710472884,3158322.32,3768142.33,0,0
523,SAQUE,248799.49,C853284926,248799.49,0.0,C1409000148,323143.23,571942.72,1,0
252,SAQUE,30868.44,C648547280,0.0,0.0,C1767472103,925061.97,955930.4,0,0
514,SAQUE,10880.26,C1316740417,10880.26,0.0,C665634935,746738.69,757618.95,1,0
465,TRANSFERENCIA,1760061.57,C1704841255,1760061.57,0.0,C1345313578,0.0,0.0,1,0
181,SAQUE,147858.55,C865606854,185.0,0.0,C1851531526,78108.6,225967.15,0,0
405,SAQUE,2740879.15,C1459823327,2740879.15,0.0,C1835896559,1137372.51,3878251.66,1,0
280,SAQUE,42203.87,C1710565246,0.0,0.0,C637756386,1239827.23,1282031.1,0,0
239,SAQUE,495991.64,C1566359738,495991.64,0.0,C634632814,0.0,495991.64,1,0
275,TRANSFERENCIA,21323.28,C498498940,21323.28,0.0,C490070900,0.0,0.0,1,0
210,PAGAMENTO,4879.57,C1184697951,203288.97,198409.4,M1977694854,0.0,0.0,0,0
184,TRANSFERENCIA,539476.68,C2146609884,254.0,0.0,C912474361,1219430.39,1758907.07,0,0
348,DEPOSITO,308847.04,C1635771654,3883447.77,4192294.81,C1770651959,682858.3,374011.25,0,0
646,TRANSFERENCIA,43071.62,C1047530413,43071.62,0.0,C665289555,0.0,0.0,1,0
379,PAGAMENTO,6424.6,C1723415027,0.0,0.0,M502406158,0.0,0.0,0,0
15,PAGAMENTO,7078.67,C1569513744,7328.0,249.33,M946930697,0.0,0.0,0,0
580,SAQUE,124544.17,C1737409831,56688.96,0.0,C1770871895,145960.08,270504.25,0,0
502,SAQUE,1673066.07,C386160700,1673066.07,0.0,C1099214627,3680384.06,5353450.13,1,0
181,SAQUE,71789.11,C733266005,40314.0,0.0,C1263200414,439200.95,510990.06,0,0
331,DEPOSITO,51711.8,C677637055,0.0,51711.8,C1917345788,75246.68,23534.88,0,0
598,TRANSFERENCIA,5566368.02,C94269091,5566368.02,0.0,C2096924215,0.0,0.0,1,0
16,TRANSFERENCIA,314627.02,C1744205354,0.0,0.0,C1568059495,1125709.24,1719983.31,0,0
94,PAGAMENTO,107.19,C1112031791,5939.52,5832.32,M1809017843,0.0,0.0,0,0
393,TRANSFERENCIA,2552832.43,C1095453978,587.0,0.0,C266154027,1492617.75,4045450.18,0,0
141,PAGAMENTO,12989.69,C1005969063,47486.0,34496.31,M1429257948,0.0,0.0,0,0
284,SAQUE,45236.53,C1195892889,0.0,0.0,C1629339780,155939.87,201176.4,0,0
45,SAQUE,104930.36,C359565534,0.0,0.0,C264575974,5511913.77,5616844.13,0,0
283,PAGAMENTO,1461.74,C2076980292,84005.0,82543.26,M792536643,0.0,0.0,0,0
650,SAQUE,230652.43,C821616305,230652.43,0.0,C1559145787,55063.86,285716.3,1,0
378,SAQUE,119754.12,C640839132,0.0,0.0,C1641842113,1174629.1,1294383.21,0,0
183,TRANSFERENCIA,638625.18,C4679258,0.0,0.0,C942293242,837794.46,1476419.63,0,0
259,DEPOSITO,58098.28,C483352890,18230013.43,18288111.71,C1644249553,120504.79,62406.51,0,0
397,SAQUE,519621.15,C1739173801,17687.0,0.0,C685530775,0.0,519621.15,0,0
131,SAQUE,286961.06,C2085174348,0.0,0.0,C1478642183,429986.88,716947.94,0,0
11,TRANSFERENCIA,786795.15,C1917187059,0.0,0.0,C2057394816,2892830.5,3596119.74,0,0
399,DEPOSITO,126518.73,C1647512907,1390354.35,1516873.08,C418042092,331441.31,204922.58,0,0
7,TRANSFERENCIA,185909.6,C271780574,28635.0,0.0,C935001848,52853.0,7695.38,0,0
158,SAQUE,3457169.26,C151947482,3457169.26,0.0,C1105913844,503937.81,4543519.99,1,0
137,PAGAMENTO,4745.54,C2089335130,54117.43,49371.89,M1069735958,0.0,0.0,0,0
425,TRANSFERENCIA,287720.41,C1664641098,287720.41,0.0,C1630931168,0.0,0.0,1,0
204,SAQUE,209554.04,C1991925532,103300.0,0.0,C1201262874,90379.02,250281.84,0,0
167,PAGAMENTO,6278.03,C821131724,119811.0,113532.97,M660870092,0.0,0.0,0,0
366,SAQUE,2701644.17,C399282086,2701644.17,0.0,C1910008940,0.0,2701644.17,1,0
296,TRANSFERENCIA,717046.74,C1732292791,717046.74,0.0,C1402438091,0.0,0.0,1,0
331,DEPOSITO,30780.17,C974215960,5746217.64,5776997.81,C1491369706,326821.01,296040.84,0,0
278,TRANSFERENCIA,238224.97,C444151311,18773.0,0.0,C186587390,839604.25,1077829.21,0,0
42,PAGAMENTO,13206.27,C2086484703,0.0,0.0,M754099696,0.0,0.0,0,0
280,DEPOSITO,166221.21,C140621639,17435615.62,17601836.82,C1478407844,593861.3,427640.1,0,0
