Data_Transacao,Marca,Categoria,Unidades_Vendidas,Receita_Bruta,Descontos,Receita_Liquida,Gasto_Marketing,Desconto_Promocao_Pct,Aumento_Vendas_Pct
2020-11-24,Schweppes,Refrigerante,235,145.7,7.28,138.42,628.17,5.0,4.04
2023-01-12,Coca-Cola Diet,Refrigerante,448,277.76,0.0,277.76,3918.46,0.0,22.37
2020-02-29,Fanta,Refrigerante,559,343.11,0.0,343.11,4809.49,0.0,26.8
2024-06-23,Coca-Cola Diet,Refrigerante,397,246.14,0.0,246.14,2578.71,0.0,15.63
2019-08-13,Coca-Cola Classica,Refrigerante,452,285.84,0.0,285.84,4279.57,0.0,23.67
2025-02-23,Coca-Cola Diet,Refrigerante,147,91.14,0.0,91.14,0.0,0.0,0.59
2025-10-17,Dasani,Agua,103,35.02,1.75,33.27,0.0,5.0,0.46
2021-02-01,Schweppes,Refrigerante,238,147.56,7.38,140.18,876.47,5.0,4.68
2018-04-15,Coca-Cola Classica,Refrigerante,375,237.15,11.86,225.29,2599.73,5.0,13.5
2024-02-12,Powerade,Bebida Esportiva,306,265.79,0.0,265.79,1560.64,0.0,11.9
2025-11-27,Powerade,Bebida Esportiva,232,201.52,0.0,201.52,0.0,0.0,0.0
2025-10-30,Coca-Cola Classica,Refrigerante,354,223.87,0.0,223.87,2066.03,0.0,10.36
2020-06-06,Dasani,Agua,389,132.26,6.61,125.65,3828.28,5.0,21.71
2022-06-25,Coca-Cola Classica,Refrigerante,536,338.97,33.9,305.07,4370.31,10.0,24.41
2025-05-23,Powerade,Bebida Esportiva,278,241.47,0.0,241.47,751.6,0.0,2.03
2024-09-15,Dasani,Agua,97,32.98,1.65,31.33,248.09,5.0,3.05
2023-12-02,Powerade,Bebida Esportiva,420,364.81,0.0,364.81,2675.54,0.0,14.57
2019-11-15,Schweppes,Refrigerante,521,323.02,0.0,323.02,4860.68,0.0,25.07
2023-04-22,Coca-Cola Diet,Refrigerante,255,158.1,0.0,158.1,702.43,0.0,5.65
2020-01-19,Sprite,Refrigerante,190,115.44,0.0,115.44,150.4,0.0,1.77
2022-09-17,Sprite,Refrigerante,322,195.65,9.78,185.87,1950.2,5.0,8.83
2023-06-12,Monster,Energetico,223,307.78,30.78,277.0,0.0,10.0,2.67
2024-09-27,Powerade,Bebida Esportiva,565,490.76,0.0,490.76,4327.54,0.0,24.79
2020-03-06,Sprite,Refrigerante,176,106.94,5.35,101.59,0.0,5.0,0.0
2018-12-02,Coca-Cola Zero,Refrigerante,169,105.83,5.29,100.54,0.0,5.0,2.39
2022-04-24,Sprite,Refrigerante,404,245.47,24.55,220.92,3101.1,10.0,17.29
2024-01-23,Minute Maid,Suco,526,378.72,18.94,359.78,4974.19,5.0,27.32
2023-04-15,Schweppes,Refrigerante,408,252.96,0.0,252.96,2918.5,0.0,15.06
2024-03-11,Coca-Cola Zero,Refrigerante,425,266.14,13.31,252.83,3129.32,5.0,18.08
2018-09-02,Powerade,Bebida Esportiva,569,494.23,0.0,494.23,4639.35,0.0,26.23
2018-11-14,Minute Maid,Suco,482,347.04,34.7,312.34,3850.61,10.0,21.2
2018-03-20,Powerade,Bebida Esportiva,232,201.52,0.0,201.52,427.23,0.0,1.16
2023-01-08,Sprite,Refrigerante,464,281.93,14.1,267.83,3955.79,5.0,21.95
2018-10-08,Powerade,Bebida Esportiva,354,307.48,0.0,307.48,2193.44,0.0,11.96
2022-11-21,Sprite,Refrigerante,195,118.48,0.0,118.48,0.0,0.0,0.0
2018-04-05,Powerade,Bebida Esportiva,376,326.59,32.66,293.93,1830.62,10.0,7.86
2023-06-13,Powerade,Bebida Esportiva,207,179.8,8.99,170.81,0.0,5.0,0.85
2025-08-18,Coca-Cola Diet,Refrigerante,260,161.2,0.0,161.2,1341.1,0.0,3.47
2020-10-23,Coca-Cola Zero,Refrigerante,159,99.57,9.96,89.61,0.0,10.0,0.31
2025-01-14,Dasani,Agua,116,39.44,3.94,35.5,0.0,10.0,0.0
2023-07-13,Coca-Cola Zero,Refrigerante,295,184.73,0.0,184.73,1289.23,0.0,9.05
2024-10-03,Dasani,Agua,328,111.52,5.58,105.94,2853.28,5.0,14.95
2025-11-08,Coca-Cola Diet,Refrigerante,163,101.06,5.05,96.01,0.0,5.0,0.99
2018-06-14,Fanta,Refrigerante,371,227.72,11.39,216.33,2463.06,5.0,12.95
2023-11-07,Sprite,Refrigerante,258,156.76,0.0,156.76,996.6,0.0,5.65
2019-04-05,Minute Maid,Suco,324,233.28,0.0,233.28,2384.02,0.0,14.22
2023-01-27,Minute Maid,Suco,412,296.64,29.66,266.98,3337.88,10.0,17.66
2023-05-23,Coca-Cola Zero,Refrigerante,406,254.24,25.42,228.82,2944.86,10.0,17.69
2018-04-13,Minute Maid,Suco,261,187.92,18.79,169.13,1385.96,10.0,6.13
2022-05-15,Coca-Cola Zero,Refrigerante,193,120.86,12.09,108.77,145.06,10.0,1.24
2018-02-02,Coca-Cola Zero,Refrigerante,205,128.37,6.42,121.95,232.92,5.0,2.67
2021-06-23,Coca-Cola Diet,Refrigerante,533,330.46,16.52,313.94,4501.13,5.0,25.75
2025-04-12,Dasani,Agua,332,112.88,5.64,107.24,3580.67,5.0,22.57
2024-01-16,Schweppes,Refrigerante,337,208.94,10.45,198.49,2203.01,5.0,10.97
2023-11-10,Powerade,Bebida Esportiva,505,438.64,21.93,416.71,4091.38,5.0,20.43
2019-04-15,Coca-Cola Classica,Refrigerante,311,196.68,0.0,196.68,1965.52,0.0,9.32
2020-10-12,Minute Maid,Suco,284,204.48,10.22,194.26,2017.85,5.0,12.09
2018-09-18,Coca-Cola Zero,Refrigerante,575,360.06,0.0,360.06,4774.62,0.0,27.01
2023-04-18,Coca-Cola Classica,Refrigerante,186,117.63,0.0,117.63,363.01,0.0,2.15
2022-02-21,Powerade,Bebida Esportiva,526,456.88,22.84,434.04,3887.95,5.0,19.7
2023-11-22,Dasani,Agua,357,121.38,0.0,121.38,3990.3,0.0,23.1
2023-05-21,Coca-Cola Diet,Refrigerante,235,145.7,0.0,145.7,843.37,0.0,2.8
2023-10-28,Schweppes,Refrigerante,184,114.08,11.41,102.67,0.0,10.0,1.74
2018-01-10,Coca-Cola Diet,Refrigerante,440,272.8,27.28,245.52,3274.75,10.0,22.3
2021-11-13,Minute Maid,Suco,158,113.76,0.0,113.76,0.0,0.0,0.55
2021-03-02,Coca-Cola Classica,Refrigerante,200,126.48,0.0,126.48,0.0,0.0,0.87
2019-02-18,Coca-Cola Zero,Refrigerante,428,268.01,0.0,268.01,3421.64,0.0,18.08
2025-11-06,Monster,Energetico,228,314.69,15.73,298.96,0.0,5.0,0.0
2024-04-18,Minute Maid,Suco,423,304.56,30.46,274.1,3490.09,10.0,18.29
2025-10-28,Dasani,Agua,305,103.7,0.0,103.7,2803.13,0.0,13.78
2018-12-09,Powerade,Bebida Esportiva,524,455.15,22.76,432.39,4608.71,5.0,23.18
2019-09-01,Coca-Cola Classica,Refrigerante,162,102.45,0.0,102.45,132.41,0.0,3.31
2021-03-01,Dasani,Agua,383,130.22,0.0,130.22,4076.79,0.0,22.83
