id_pedido,peso_produto_g,distancia_aproximada_km,tempo_entrega_dias,valor_frete,preco_produto,nota_avaliacao
58d91d85a637d0643c2cd08aefd19532,353.0,655.45,10.18,17.05,87.5,5
398f1723ca5725d585fbc000ec3edb05,200.0,99.09,3.26,7.83,137.9,1
9d532b51b8f3d1f0103c34fc72fe1816,1550.0,666.7,15.67,17.67,59.9,3
a8ff452116db2ff4a2963f490afe5471,250.0,426.54,5.44,15.37,89.0,3
505efa2eaeb145cfa984edf0efc092f2,1800.0,621.66,20.26,16.62,122.9,5
f32b1e3320d65b3c94140ffe559dda4f,150.0,2354.31,9.37,19.04,14.0,4
830e68f85c573a0b3ad78cc4915e0fcd,100.0,1086.19,3.27,15.65,9.9,1
e1521d92b7e6cfbb454d764235546c32,150.0,1508.95,22.01,34.15,19.9,5
c3e2a651c8f9d7a02054e2e37e977c1e,300.0,88.08,11.3,7.78,13.0,5
03edbc910db946c979e09e67eb6a0d9f,2600.0,269.87,7.59,12.98,91.0,5
ffbcbeeac5c9c9495cd729f896bc1d5f,1000.0,124.99,4.83,14.89,82.8,4
d0c9dbd8a44871e5b5624050cb44abf5,15500.0,2992.95,21.85,66.59,599.0,5
4696cae9482bc7043c17dad5cd2e50d6,300.0,380.62,12.27,15.1,29.9,5
f2b0b1751d796ee3bf5df90cb7c1c213,1900.0,504.42,10.04,18.07,70.0,5
216c6c60eaa02facee10abb4ca3a9c6f,5275.0,115.21,5.93,17.48,109.66,1
550d67c58e5a9c64c7a4f15c8bda75e3,1050.0,2093.01,22.99,38.4,49.99,5
1e1a6b58ec84f9f80db12fa7a237eae0,5450.0,354.27,12.77,18.59,72.9,5
09f86d1a5a7c2e8dddd1850a65f5a5d4,275.0,294.41,15.22,11.85,12.98,5
e4a95c672918cd518a26dd7426ddd817,233.0,409.52,10.42,23.32,250.0,5
15e5d4cea5f386d7f1d2d2600b830aae,8900.0,369.81,17.15,20.26,110.27,5
2b10fc23d5db1ae332b19fd2427b28e5,250.0,304.93,16.4,12.32,117.0,4
c2fb2be28249222077a2d3b586195433,1150.0,68.05,8.36,13.93,49.9,1
5f9a36af29314160716f48be9b146d03,1550.0,1946.46,8.93,43.14,122.9,3
bf9c50664a2f68936562e38446c321d9,1750.0,534.94,25.72,17.67,49.0,3
760e70b6d3136376633a2c6369da1c69,6550.0,132.52,10.36,23.83,139.0,4
25fbf27ebf14d822b62827aeb77d9d10,200.0,1869.88,25.84,20.53,69.0,4
150d0b8f9129df81f8190e24c9254477,325.0,825.58,7.26,16.07,89.9,5
ab8f85575996e2f61235b8943be55eb9,300.0,218.85,9.84,24.15,864.9,5
c95e5fb0ca685ee52a7db232285bf70e,300.0,716.86,7.31,18.3,27.9,4
c92bf2822e45c50c51fc4c31c5e96cca,929.0,143.65,6.76,9.02,179.99,5
b061c1796cd341f652a36bdd8a5aedcf,300.0,137.62,3.79,9.27,69.9,5
9e7076697b77903d67c852e3d2dbcdae,8950.0,102.36,3.55,19.07,128.0,5
3bf38a1291bd775229ca3420296fca97,350.0,320.94,18.3,11.98,68.0,5
9371281837c6362f41236d947e32710d,816.0,185.32,18.85,18.4,720.22,5
15b491e3b8cc65b5a45e2b1bebd89042,250.0,28.65,7.31,7.43,23.99,5
0960eb7bc90d80c2f02eddc17c25ee2f,200.0,2464.43,22.36,24.8,40.0,4
4a14e50e1d032b0fa7809a49f285bfae,165.0,531.02,51.57,19.13,179.0,1
25329aedc3217909f194254caa1e2bb1,1150.0,842.44,4.24,18.23,43.0,5
6f91268a084c516d7ad2ede51294e10e,1850.0,360.06,17.33,35.93,59.9,4
80d0ad65de53f6ff0e3ebcbc52d3b3b8,1800.0,1469.97,18.74,19.65,59.0,5
6db1acfb7eb6c31cde5a3fd0a83f8b51,750.0,381.94,5.82,16.39,89.9,5
6a98ed4567b5d3044bd9f1cdfcce5eab,450.0,496.31,14.11,15.1,39.9,5
3c35a673012104c0ceb001325c00bff4,6600.0,810.62,10.81,16.6,50.0,2
66797603772acb9fffb18082921fd797,500.0,427.36,12.25,15.1,35.9,4
6f88df04acbbbb0f5c98ef28271d27ea,200.0,430.99,16.98,18.23,45.99,1
279eab1ce88064419806859e4575a10e,2300.0,375.59,30.93,14.52,12.98,3
d29b96c282ec82deff4feb268f3df620,107.0,490.58,11.78,14.23,69.0,4
62c56a57f999877042b4e8a6fb4264f2,50.0,416.42,12.55,15.1,7.5,5
d131625abf3dd1daa6fd04443cbc6729,1650.0,1448.75,24.55,19.65,59.0,4
160325be3833553d6a8155785eb1e7e9,200.0,500.87,9.17,15.26,22.32,3
450acd2e753be51b02a7db4e9f742b52,200.0,2104.5,13.81,21.15,29.0,4
917a1e55e47868301492b1f8f765a6f8,300.0,169.54,7.77,7.78,29.99,4
9ce475d5a0f449a5b6f9c86c7e98e331,11450.0,1490.58,36.15,50.36,250.0,1
e1de983b29ef4a602a14eea41156ee4e,600.0,355.28,10.41,15.46,99.99,5
0d5286ba45f14f5c1d188ccfe21a79c4,450.0,2327.39,11.08,29.35,295.0,4
3a6d41a4fe7a8e841b7c8e4b77d4e301,200.0,635.74,12.46,15.13,53.99,2
2efd11439a203a20e9a473a10a2c18f1,1650.0,105.79,3.11,18.51,749.9,5
e1b095573ee9260b571257f2ff8a4798,3650.0,419.98,7.8,16.6,120.0,3
541bb2ccd254b84fbaabf01e82324cb0,750.0,855.89,32.04,15.39,89.9,1
f68cab86ff2a610cff4a1c13fca1cdd2,1825.0,166.69,9.98,12.13,89.9,2
2e2b335489d4f06ec73386262189e7fe,1350.0,155.11,21.28,12.4,99.9,1
91203c4e456f0e1cfbd86125383976c1,337.0,72.15,5.2,9.96,199.9,4
9d53d672d0f8a9f2884dbf37bbb4d7fc,667.0,826.1,26.42,20.19,535.9,4
c63e118d1a3111cb82af1fdb95b68646,1363.0,3.53,5.81,14.76,140.9,5
dbed639a12dc60f5e3c08f284bb686cf,17300.0,464.22,9.62,46.31,259.0,3
66f249e4d7ab2f3872de7bd6d74719dd,400.0,854.37,25.24,18.77,330.0,4
7f2f03f3b7e68c7b510177e04cb2b40e,150.0,12.12,3.2,7.81,79.0,5
d382b95db47e1184844771720a5f947a,1700.0,537.8,19.31,17.6,49.7,5
b6f781aae89e5d40f9cfa52fb427416e,800.0,15.06,6.57,8.88,47.9,5
68fb895df51e234a55fbf5c30c873fd2,7500.0,348.17,6.07,18.35,109.9,5
7e257955fd806152344c4d9a66ac631d,2600.0,2265.69,34.39,26.85,259.9,2
78ed13dc9c5f51a880ae17567451dc74,500.0,795.67,17.32,17.61,51.45,1
8872e48bafe00195f92e3a6f1d81bfbc,450.0,1067.29,12.25,22.28,49.9,3
9aab0bd41ca1b740b564ea50fd2440ed,250.0,95.96,2.34,8.27,15.9,5
ef445757c25db3525a25a2b9641ef288,400.0,662.81,10.72,16.05,34.9,5
4b8a3b3d574a15cac939eb0a2d4fecbe,1075.0,334.39,14.13,18.35,299.99,5
9858c41d96443ebb71329d305f62302d,1300.0,737.79,8.82,23.05,35.0,4
a530dc19f1969dc7898a1b96fcd6e602,200.0,22.17,2.26,7.39,17.99,5
df7e288b85ef0dd4db4c94c910b31057,600.0,2519.39,14.03,25.69,59.0,5
eb2e70f9dff6ed61b9b0e5a02001d973,900.0,829.6,3.62,19.6,90.0,5
e80af3d621fbc7add2b8a64511f1012b,250.0,242.29,8.14,12.79,23.9,5
6cf42125a37be6793fa08e470569048f,150.0,879.51,12.11,15.1,34.9,5
554647072788557163baf06383119edb,200.0,6.06,2.07,7.65,55.0,5
1ad4a4025f564f7589eb7d378060a63c,350.0,892.14,13.01,18.23,29.99,4
54ff9c7f5e48a0e6ba2ec182428b10d7,400.0,229.17,8.91,15.35,549.9,5
722d538cc82ebbe96084de19ed6f7fad,300.0,1157.0,16.12,16.79,27.99,5
1535ffdb181e70ff560cfced342c4f40,150.0,523.0,6.86,14.52,49.0,5
e20e66069c6d2f4cd62ea63b48bbaf4d,600.0,571.61,17.91,16.11,45.9,3
5a644293b3539f7e7876ab0b4536b320,8217.0,30.2,17.97,18.73,136.94,3
cf77a280bc82f1008e6cbf4c16435622,900.0,629.5,26.41,23.28,99.9,3
c934cfe574e2fa46180d1c2166a43beb,400.0,322.1,10.67,14.1,39.99,5
20f00da0cbd9a5f5d8caaa7f5a5e438c,300.0,1750.4,20.5,39.38,384.09,4
c88e6fb53503e3e625713f57d94360f0,8350.0,484.61,10.93,21.43,134.9,5
d567c76cfa5212048dd3be0f0595b358,750.0,41.14,1.87,11.58,79.9,3
8a8fe42973aacdf0b83fb915d722aac6,400.0,148.39,8.38,9.07,79.9,5
ca66e72f5578f9b35b68982c4865079b,800.0,797.96,11.5,20.37,199.9,4
40ccf6af09b0aadbf3e2710fb2f17715,850.0,1280.32,14.67,25.24,298.8,5
63df9c400a34f212a2b147cec366dfa9,444.0,461.45,23.18,15.79,149.0,5
bcc74496281fa806f6939a8d8f80f232,200.0,166.32,5.25,12.79,6.27,5
0b9b1c5bbb14862e0e96660280048b04,250.0,139.63,2.14,7.39,8.99,4
61fa6d238ae5d2e7063f2df458609c91,150.0,742.04,24.46,15.23,17.99,5
365a8708db2878154916b372f72e17ef,1600.0,1502.49,10.84,24.89,99.0,5
7922e481eb24d257ec8c04c6ca0ce170,2050.0,35.72,9.83,9.04,185.49,3
32a2a69103ff2fe1402e4d61c624c5b4,12250.0,422.09,9.12,82.92,230.0,4
a9cdfd538e3a7e3fa7f39bb4197c6a44,1900.0,914.31,35.69,18.47,127.0,2
ada812c7806382c3085a5f5024bc17ca,200.0,320.21,8.85,15.25,22.0,4
fcba992b4475ba26d07f17a27a23096a,650.0,2312.1,17.91,19.38,119.9,5
518e28f28e634069d2f5d642dd7997b7,1100.0,311.52,17.67,11.9,72.9,2
d54ac520ded2abbe3b4ada40dfdecc96,2500.0,246.45,7.41,17.62,69.9,5
02fc46ea58b91abb0507c92e7f6e33ff,250.0,8.04,3.39,7.78,26.9,5
4d7abbf4bd3bb90f0dc241c1a6b2f1a1,900.0,773.41,21.03,15.1,47.99,1
e147052b9ecc00bf938f9e8581944207,2667.0,2033.22,18.57,43.95,220.0,4
c83dc126a7ee10b227493835cb8370e4,400.0,406.52,9.07,15.56,22.5,5
67e1523ecabbe030f525c66b8cc57fa2,50.0,488.17,4.09,14.1,19.9,5
15e4f54bacc1f99c567ae071a016fa9b,6794.0,1791.5,13.44,39.65,299.99,5
e4c9031df14928b20f99e53c11d6e1d4,50.0,60.15,1.48,7.94,27.9,5
26e388ebc7a8a0fa0998ad6cc4755bec,3250.0,216.7,14.52,20.32,149.0,5
a19c1dc4214e26a8fd902af45444240f,850.0,697.1,5.93,45.13,189.9,5
a24eb60f1866ce0cf8d9c0a47f738d96,7650.0,355.11,11.57,20.29,179.0,5
5dcaecab15d20be174a67f4f5392cd84,16133.0,33.21,13.09,34.65,229.96,3
1429d024a5b24651ee03fd7216d95247,13000.0,2230.78,31.58,206.5,169.9,1
8275d4aa466e4679ed369b23c8eda40a,292.0,951.77,15.9,19.41,219.0,5
bd6a649dcd082eea6d1fd07aeee18a87,700.0,1187.67,41.92,16.11,49.9,1
