id_registro,data,loja,entradas,horas_equipe,investimento_divulgacao,canal_divulgacao,desconto_campanha_pct,disponibilidade_produtos_pct,espera_media_min,cupons_emitidos,receita_liquida,lucro_bruto
R00001,2023-12-30,L4,137,36.1,172.00,WhatsApp,5,95.1,7.2,53,3496.44,1332.11
R00002,2023-12-30,L8,213,37.7,114.62,WhatsApp,10,97.8,11.2,70,4649.26,1747.00
R00003,2023-12-30,L2,170,39.3,124.44,Redes sociais,15,95.8,9.2,65,4373.28,1360.76
R00004,2023-12-30,L1,167,35.8,0.00,Sem divulgação,0,99.0,9.9,43,2972.65,1232.00
R00005,2023-12-30,L7,185,37.1,0.00,Sem divulgação,20,81.9,10.1,24,1506.41,457.60
R00006,2023-12-30,L6,291,54.4,420.00,Mídia local,15,95.0,9.9,102,7102.16,2365.74
R00007,2023-12-30,L3,232,47.8,103.80,Redes sociais,15,97.6,9.2,70,6025.48,1802.41
R00008,2023-12-30,L5,291,56.8,281.49,Redes sociais,10,95.4,9.9,57,3560.02,1295.50
R00009,2024-01-02,L4,103,34.6,0.00,Sem divulgação,0,94.6,5.1,45,2906.89,1166.07
R00010,2024-01-02,L8,215,38.8,102.65,WhatsApp,0,97.7,10.9,68,4637.88,1912.51
R00011,2024-01-02,L2,205,43.1,188.06,Redes sociais,0,95.8,8.9,68,4960.58,1868.04
R00012,2024-01-02,L1,247,39.3,58.29,WhatsApp,0,86.4,12.3,39,2273.81,926.22
R00013,2024-01-02,L7,184,39.6,0.00,Sem divulgação,10,96.9,10.7,30,2454.85,775.53
R00014,2024-01-02,L6,212,40.4,0.00,Sem divulgação,10,92.8,9.8,39,2599.65,900.88
R00015,2024-01-02,L3,266,44.3,0.00,Sem divulgação,10,98.1,12.8,52,4254.45,1366.69
R00016,2024-01-02,L5,218,48.0,0.00,Sem divulgação,10,96.5,11.6,46,3043.70,1108.44
R00017,2024-01-03,L4,173,33.5,90.49,Redes sociais,5,97.4,9.3,63,4063.64,1518.01
R00018,2024-01-03,L8,150,40.1,92.11,Redes sociais,15,96.7,6.8,63,4003.46,1397.21
R00019,2024-01-03,L2,147,30.9,0.00,Sem divulgação,0,97.2,10.8,47,3172.05,1206.78
R00020,2024-01-03,L1,190,33.7,0.00,Sem divulgação,20,97.1,12.6,52,2774.77,835.96
R00021,2024-01-03,L7,186,39.0,0.00,Sem divulgação,10,96.0,8.8,48,3283.20,1000.55
R00022,2024-01-03,L6,242,50.0,105.55,WhatsApp,15,91.6,10.2,61,3972.75,1289.59
R00023,2024-01-03,L3,314,48.2,110.80,Mídia local,10,99.1,13.5,75,6082.39,2057.73
R00024,2024-01-03,L5,280,57.3,105.81,Redes sociais,5,93.9,10.3,66,4837.70,1770.05
